class,id,text,text_length,words_per_sentence,sentiment,polarity,subjectivity,aspects
0,1,thats true freedom speech doomed harassment subjective claim book dont like harassing banned,92,13,0.35,0.35,0.65,[]
0,2,neener neener time go playground yet,36,6,0.0,0.0,0.0,"['neener', 'playground']"
0,3,like plastic gun fear armour piercing bullet fear wa built upon misinformation myth,83,13,0.0,0.0,0.0,['armour']
0,4,geology religion werent see rock x formed,41,7,0.0,0.0,0.0,['rock']
0,5,well done monty mark first ever honest accurate post,52,9,0.416666667,0.416666667,0.622222222,['post']
0,6,whole process wa done court using process set constitution law clear issue massachusetts court job decide court check injustice towards minority majority,153,22,0.15,0.15,0.391666667,['process']
0,7,would penalize financially want kid,35,5,0.0,0.0,0.0,[]
0,8,iow saying u intelligent enough realize non existent imaginary god doesnt exist chemical imbalance wow thats quite stretch even archie baby,139,21,0.3,0.3,0.8,[]
0,9,probably referring mexican basin crater mass extinction doesnt prove evolution flood described bible example mass extinction besides order asteroid theory work asteroid would create almost global tidal wave would effectively kill animal drowning also similiar effect flood,272,37,0.2,0.2,0.266666667,[]
0,10,matter atheism tell science discovers something seems agree year old writing darwin writing darwin disregarded type history trumpeted mass,138,19,0.1,0.1,0.2,[]
0,11,front behind leaf,17,3,-0.4,-0.4,0.7,[]
0,12,really dont think know talking please provide evidence back claim thanks,72,11,0.133333333,0.133333333,0.133333333,[]
0,13,human kidney human,18,3,0.0,0.0,0.1,['kidney']
0,14,would likely finding evidence abiogenesis,41,5,0.0,0.0,1.0,[]
0,15,incredible probably enlightened response expect crowd,53,6,0.9,0.9,0.9,['crowd']
0,16,wonder euthanization never heard neither ha dictionary,54,7,0.0,0.0,0.0,[]
0,17,crowing bit dont understand could possibly pleased stranger religious view would pleased switched liking broccoli disliking case may,132,18,0.333333333,0.333333333,0.75,['broccoli']
0,18,oh joy another drive absolutely proof evidence,46,7,0.5,0.5,0.55,['evidence']
0,19,clear profetallifers wish make pregnant woman slave fetus,57,8,0.216666667,0.216666667,0.441666667,[]
0,20,well claim shouldnt push gun owner button make mad arguing thats youre claiming wrong thing,91,15,-0.5625,-0.5625,0.95,[]
0,21,okmany many people killed africa policy country eu south america asia onthis hypocrisy annoys,93,14,0.15,0.15,0.25,"['africa', 'hypocrisy']"
0,22,see still flip back fourth atheist atheist,42,7,0.0,0.0,0.0,[]
0,23,quaint illogic people marry get divorced reduction people marrying ha effect rising divorce rate anything rising divorce rate among fewer marriage point even higher divorce rate normal,184,27,0.2,0.2,0.575,['divorce']
0,24,agree part get tank helicopter though big easy target tyrannical regime see iraqi afghani using tank helicopter im sure could get really wanted theyre useless government invests satellite technology bomber better stick rocket launcher mine,239,35,0.188888889,0.188888889,0.453703704,[]
0,25,really totally knowable show site ha mach usermanual know everything,68,10,0.0,0.0,0.75,['usermanual']
0,26,dont see anyone without healthcare none friend none family none neighbor zilch nada naught cipher dont go wandering around inner city looking halfcrazy wino crack addict either maybe thats,188,29,0.0,0.0,0.166666667,[]
0,27,seems high priest global warming unconcerned reality past year gore home burned kilowatthours kwh electricity enough power average american household month,155,21,-0.04,-0.04,0.281666667,[]
0,28,cant explain unreflective fertility abortion rate america polish fertility rate never increased referendum criminalized abortion prove criminalizing abortion ha ever decreased demand far haventonly provided empty rhetoric prolife movement thoroughly brainwashes supporter believe jibberish,289,34,-0.133333333,-0.133333333,0.733333333,[]
0,29,proof think say mind terrible thing waste,41,7,-0.6,-0.6,0.5,[]
0,30,false valid definition atheism atheism lack theism belief god certainly said isnt tiger bathroom wouldnt need camera see called reasonable,138,20,0.004761905,0.004761905,0.59047619,['tiger']
0,31,dont make space anymore theyll put cell pot grower crack addict hell lucky get spot floor sleep,95,17,0.333333333,0.333333333,0.833333333,['space']
0,32,think fsm threw guy bone cherrypicked taxon would give statistically significant result expand method include taxon theyd see noodly appendage flying spaghetti monster ramen,173,24,0.375,0.375,0.875,['spaghetti monster ramen']
0,33,take understanding science much le scientific method,52,7,0.2,0.2,0.2,[]
0,34,well maybe could put little box check straw purchasermaybe psychic back room ask politely straw purchaser,105,16,-0.09375,-0.09375,0.25,['box']
0,35,another example using verse meant personal use applying war sorry doesnt work way,81,13,-0.25,-0.25,0.65,[]
0,36,think doesnt really know mean dont think heathen follow particular set belief though dont know many pagan,105,17,0.138541667,0.138541667,0.430208333,[]
0,37,mean burn book er mean take nativity scene,42,8,-0.3125,-0.3125,0.6875,[]
0,38,supposedly ran thread one making assertion dont back one unwilling ie unable show arctic fox adapt phoenix summer one keep ignoring henceforth refer chihuahua challenge somebody claiming clearly right obviously vindicated evidence youve done nothing show youve done everything run,280,40,-0.053571429,-0.053571429,0.383928571,[]
