class,id,text,text_length,words_per_sentence,sentiment,polarity,subjectivity,aspects
0,1,thats true freedom speech doomed harassment subjective claim book dont like harassing banned,92,13.0,0.35,0.35,0.65,[]
0,2,neener neener time go playground yet,36,6.0,0.0,0.0,0.0,"['neener', 'playground']"
0,3,like plastic gun fear armour piercing bullet fear wa built upon misinformation myth,83,13.0,0.0,0.0,0.0,['armour']
0,4,geology religion werent see rock x formed,41,7.0,0.0,0.0,0.0,['rock']
0,5,well done monty mark first ever honest accurate post,52,9.0,0.4166666666666667,0.4166666666666667,0.6222222222222222,['post']
0,6,whole process wa done court using process set constitution law clear issue massachusetts court job decide court check injustice towards minority majority,153,22.0,0.15,0.15,0.3916666666666666,['process']
0,7,would penalize financially want kid,35,5.0,0.0,0.0,0.0,[]
0,8,iow saying u intelligent enough realize non existent imaginary god doesnt exist chemical imbalance wow thats quite stretch even archie baby,139,21.0,0.3,0.3,0.7999999999999999,[]
0,9,probably referring mexican basin crater mass extinction doesnt prove evolution flood described bible example mass extinction besides order asteroid theory work asteroid would create almost global tidal wave would effectively kill animal drowning also similiar effect flood,272,37.0,0.1999999999999999,0.1999999999999999,0.2666666666666666,[]
0,10,matter atheism tell science discovers something seems agree year old writing darwin writing darwin disregarded type history trumpeted mass,138,19.0,0.1,0.1,0.2,[]
0,11,front behind leaf,17,3.0,-0.4,-0.4,0.7,[]
0,12,really dont think know talking please provide evidence back claim thanks,72,11.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,[]
0,13,human kidney human,18,3.0,0.0,0.0,0.1,['kidney']
0,14,would likely finding evidence abiogenesis,41,5.0,0.0,0.0,1.0,[]
0,15,incredible probably enlightened response expect crowd,53,6.0,0.9,0.9,0.9,['crowd']
0,16,wonder euthanization never heard neither ha dictionary,54,7.0,0.0,0.0,0.0,[]
0,17,crowing bit dont understand could possibly pleased stranger religious view would pleased switched liking broccoli disliking case may,132,18.0,0.3333333333333333,0.3333333333333333,0.75,['broccoli']
0,18,oh joy another drive absolutely proof evidence,46,7.0,0.5,0.5,0.55,['evidence']
0,19,clear profetallifers wish make pregnant woman slave fetus,57,8.0,0.2166666666666666,0.2166666666666666,0.4416666666666666,[]
0,20,well claim shouldnt push gun owner button make mad arguing thats youre claiming wrong thing,91,15.0,-0.5625,-0.5625,0.95,[]
0,21,okmany many people killed africa policy country eu south america asia onthis hypocrisy annoys,93,14.0,0.15,0.15,0.25,"['africa', 'hypocrisy']"
0,22,see still flip back fourth atheist atheist,42,7.0,0.0,0.0,0.0,[]
